;TRADEDATE;SECID;OPEN;LOW;HIGH;CLOSE;VOLRUR;is_actual;last_CLOSE;short;long;diff;Stance;OBV;STHST_k;STHST_d;BBU;BBM;BBL;diff_st;Stance_st;Recommendation
0;2020-06-02;EURUSD000TOM;1.11239;1.1117;1.1195;1.1168200000000001;2639270547.16;1 day lag;;1.1168200000000001;1.1168200000000001;0.0;0;2639270547.16;;;;;;;0;Ожидать (Hold)
1;2020-06-03;EURUSD000TOM;1.121;1.11858;1.1255;1.1233;4066805342.92;1 day lag;;1.12006;1.118116;0.0019439999999999458;0;6706075890.08;;;;;;;0;Ожидать (Hold)
2;2020-06-04;EURUSD000TOM;1.121;1.1193899999999999;1.1361;1.1332;5202847361.82;1 day lag;;1.12663;1.1211328;0.00549719999999998;1;11908923251.9;;;;;;;0;Ожидать (Hold)
3;2020-06-05;EURUSD000TOM;1.13734;1.12792;1.138;1.12884;4432968646.2;1 day lag;;1.127735;1.12267424;0.0050607599999998865;1;7475954605.7;;;;;;;0;Ожидать (Hold)
4;2020-06-08;EURUSD000TOM;1.1299;1.1195;1.13178;1.1292799999999998;4727827205.87;1 day lag;;1.1285075;1.123995392;0.004512107999999904;1;12203781811.57;;;;;;;0;Ожидать (Hold)
5;2020-06-09;EURUSD000TOM;1.12709;1.12429;1.13634;1.1336899999999999;3404430804.36;1 day lag;;1.13109875;1.1259343136000002;0.005164436399999861;1;15608212615.93;;;;;;;0;Ожидать (Hold)
6;2020-06-10;EURUSD000TOM;1.1350799999999999;1.133;1.14214;1.1373;4882381419.98;1 day lag;;1.1341993750000001;1.1282074508800002;0.005991924119999936;1;20490594035.91;;;;;;;0;Ожидать (Hold)
7;2020-06-11;EURUSD000TOM;1.13615;1.1288;1.14001;1.12895;4440272662.4;1 day lag;;1.1315746875000001;1.1283559607040001;0.0032187267959999932;0;16050321373.51;;;;;;;0;Ожидать (Hold)
8;2020-06-15;EURUSD000TOM;1.1233;1.12286;1.133;1.13164;2608231826.49;1 day lag;;1.13160734375;1.1290127685632;0.0025945751867999522;0;18658553200.0;;;;;;;0;Ожидать (Hold)
9;2020-06-16;EURUSD000TOM;1.13409;1.123;1.1350200000000001;1.12616;7282302645.34;1 day lag;;1.1288836718750002;1.1284422148505602;0.000441457024439984;0;11376250554.66;;;;;;;0;Ожидать (Hold)
10;2020-06-17;EURUSD000TOM;1.1284399999999999;1.121;1.1291200000000001;1.12398;2785095963.82;1 day lag;;1.1264318359375;1.1275497718804481;-0.0011179359429480673;0;8591154590.84;;;;;;;0;Ожидать (Hold)
11;2020-06-18;EURUSD000TOM;1.1255;1.11876;1.126;1.12056;6264151541.23;1 day lag;;1.12349591796875;1.1261518175043586;-0.002655899535608519;0;2327003049.6100006;;;;;;;0;Ожидать (Hold)
12;2020-06-19;EURUSD000TOM;1.1216;1.117;1.1254600000000001;1.11812;2663063947.8;1 day lag;;1.1208079589843751;1.124545454003487;-0.003737495019111803;-1;-336060898.1899996;;;;;;;0;Ожидать (Hold)
13;2020-06-22;EURUSD000TOM;1.1192600000000001;1.119;1.1268799999999999;1.1265;3992906054.73;1 day lag;;1.1236539794921876;1.1249363632027896;-0.0012823837106019642;0;3656845156.5400004;;;;;;;0;Ожидать (Hold)
14;2020-06-23;EURUSD000TOM;1.1276;1.1276;1.1345100000000001;1.13083;3686911424.33;1 day lag;;1.1272419897460937;1.1261150905622317;0.0011268991838619957;0;7343756580.870001;;;;;;;0;Ожидать (Hold)
15;2020-06-25;EURUSD000TOM;1.1237;1.11904;1.12483;1.12175;4553216733.24;1 day lag;;1.1244959948730469;1.1252420724497854;-0.000746077576738502;0;2790539847.630001;;;;;;;0;Ожидать (Hold)
16;2020-06-26;EURUSD000TOM;1.12086;1.11976;1.12381;1.12252;3034617985.08;1 day lag;;1.1235079974365234;1.1246976579598282;-0.0011896605233048252;0;5825157832.710001;20.42561654733498;36.39825474931292;;;;-15.97263820197794;-1;Продавать (Short)
17;2020-06-29;EURUSD000TOM;1.12592;1.12208;1.1286;1.12429;2848608434.47;1 day lag;;1.1238989987182617;1.1246161263678627;-0.0007171276496009682;0;8673766267.18;25.477326968973788;27.61866878811995;;;;-2.141341819146163;-1;Продавать (Short)
18;2020-06-30;EURUSD000TOM;1.12096;1.1192;1.1263;1.12323;8234025593.07;1 day lag;;1.123564499359131;1.1243389010942901;-0.0007744017351591914;0;439740674.1100006;26.88941925218777;24.264120922832177;;;;2.6252983293555943;1;Покупать (Long)
19;2020-07-02;EURUSD000TOM;1.12696;1.12242;1.13009;1.1240299999999999;5193721257.35;1 day lag;;1.1237972496795654;1.124277120875432;-0.0004798711958666768;0;5633461931.460001;26.372315035799247;26.246353752320264;1.1367599071756995;1.1262495;1.1157390928243003;0.12596128347898272;0;Ожидать (Hold)
20;2020-07-03;EURUSD000TOM;1.124;1.12191;1.12548;1.1254;1749300900.37;1 day lag;;1.1245986248397828;1.1245016967003456;9.692813943718015e-05;0;7382762831.830001;32.23463597335985;28.498790087115623;1.1362750478688635;1.1266785;1.1170819521311364;3.7358458862442276;1;Покупать (Long)
21;2020-07-06;EURUSD000TOM;1.12931;1.1283;1.13447;1.1307200000000002;2275460336.25;1 day lag;;1.1276593124198915;1.1257453573602767;0.0019139550596147803;0;9658223168.080002;56.32174593780355;38.30956564898755;1.1366685986584664;1.1270494999999998;1.1174304013415333;18.012180288815998;1;Покупать (Long)
